,Encounter #,Location,Date,Weapon,Wielder,Attack Type,Target,Acute Effect,Latent Effect,Fight Context,Notes 1,Notes 2,Notes 3,Citation,Text,Continent
1025,523,Balaclava,1854.0,Saber,Pvt. Herbert,Cut,Head,Incapacitation,Incapacitation,Horse,,,,BSF 371,"Sgt. Maj. Henry Franks, 5th Dragoon Guards: “Some of the Russians seemed to be rather astonished at the way our men used their swords. We soon became a struggling mass of half-frenzied and desperate men, doing our level best to kill each other. I saw Priv. Harry Herbert attacked by three Cossack lancers at the same time. He disabled one of them by a terrible cut across the back of the neck, and the second one scampered off. Herbert made a point at the third man’s breast, but his sword blade broke off about three inches from the hilt; yet Harry was not to be foiled by this mishap. He threw the heavy sword hilt at the Russian, which hit him in the face; and the Cossack dropped to the ground. He was not dead, but it spoiled his visage. Herbert also spoiled the appearance of two or three more of them after that.” (Ms. copy, priv. coll.)",Europe
1026,523,Balaclava,1854.0,Saber,Pvt. Herbert,Strike,Head,Incapacitation,Incapacitation,Horse,Thrown weapon,,,BSF 371,"Sgt. Maj. Henry Franks, 5th Dragoon Guards: “Some of the Russians seemed to be rather astonished at the way our men used their swords. We soon became a struggling mass of half-frenzied and desperate men, doing our level best to kill each other. I saw Priv. Harry Herbert attacked by three Cossack lancers at the same time. He disabled one of them by a terrible cut across the back of the neck, and the second one scampered off. Herbert made a point at the third man’s breast, but his sword blade broke off about three inches from the hilt; yet Harry was not to be foiled by this mishap. He threw the heavy sword hilt at the Russian, which hit him in the face; and the Cossack dropped to the ground. He was not dead, but it spoiled his visage. Herbert also spoiled the appearance of two or three more of them after that.” (Ms. copy, priv. coll.)",Europe
1027,523,Balaclava,1854.0,Saber,Pvt. Herbert,Thrust,Torso,Ineffective,Ineffective,Horse,Sword break,,,BSF 371,"Sgt. Maj. Henry Franks, 5th Dragoon Guards: “Some of the Russians seemed to be rather astonished at the way our men used their swords. We soon became a struggling mass of half-frenzied and desperate men, doing our level best to kill each other. I saw Priv. Harry Herbert attacked by three Cossack lancers at the same time. He disabled one of them by a terrible cut across the back of the neck, and the second one scampered off. Herbert made a point at the third man’s breast, but his sword blade broke off about three inches from the hilt; yet Harry was not to be foiled by this mishap. He threw the heavy sword hilt at the Russian, which hit him in the face; and the Cossack dropped to the ground. He was not dead, but it spoiled his visage. Herbert also spoiled the appearance of two or three more of them after that.” (Ms. copy, priv. coll.)",Europe
1028,523,Balaclava,1854.0,Saber,Pvt. Herbert,Cut,unspecified,Incapacitation,Incapacitation,Horse,Morale kill,,,BSF 371,"Sgt. Maj. Henry Franks, 5th Dragoon Guards: “Some of the Russians seemed to be rather astonished at the way our men used their swords. We soon became a struggling mass of half-frenzied and desperate men, doing our level best to kill each other. I saw Priv. Harry Herbert attacked by three Cossack lancers at the same time. He disabled one of them by a terrible cut across the back of the neck, and the second one scampered off. Herbert made a point at the third man’s breast, but his sword blade broke off about three inches from the hilt; yet Harry was not to be foiled by this mishap. He threw the heavy sword hilt at the Russian, which hit him in the face; and the Cossack dropped to the ground. He was not dead, but it spoiled his visage. Herbert also spoiled the appearance of two or three more of them after that.” (Ms. copy, priv. coll.)",Europe
1029,524,Balaclava,1854.0,Saber,Pvt. Malone,Thrust,unspecified,Incapacitation,Incapacitation,Foot vs Horse,,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1030,524,Balaclava,1854.0,Saber,Pvt. Malone,Thrust,unspecified,Incapacitation,Incapacitation,Foot vs Horse,,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1031,524,Balaclava,1854.0,Saber,Pvt. Malone,Thrust,unspecified,Incapacitation,Incapacitation,Foot vs Horse,,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1032,524,Balaclava,1854.0,Saber,Russian cavalry,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Blood loss,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1033,524,Balaclava,1854.0,Saber,Russian cavalry,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Blood loss,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1034,524,Balaclava,1854.0,Saber,Russian cavalry,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Blood loss,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1035,524,Balaclava,1854.0,Saber,Russian cavalry,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Blood loss,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1036,524,Balaclava,1854.0,Saber,Russian cavalry,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Blood loss,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1037,524,Balaclava,1854.0,Saber,Russian cavalry,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Blood loss,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1038,524,Balaclava,1854.0,Saber,Russian cavalry,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Blood loss,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1039,524,Balaclava,1854.0,Saber,Russian cavalry,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Blood loss,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1040,524,Balaclava,1854.0,Saber,Russian cavalry,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Blood loss,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1041,524,Balaclava,1854.0,Saber,Russian cavalry,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Blood loss,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1042,524,Balaclava,1854.0,Saber,Russian cavalry,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Blood loss,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1043,524,Balaclava,1854.0,Saber,Russian cavalry,Thrust,unspecified,Ineffective,Ineffective,Foot vs Horse,Blood loss,,,BSF 371,"“[Pvt.] Edward Malone [of the 5th Dragoon Guards] was pursued by seven Russian cavalry men, the foremost of whom passed a lance at him. By shifting his position, he avoided it; but it entered the body of his horse, and both lay prostrate on the ground. Malone, releasing himself as soon as possible from his poor animal, sprung on his feet, when he saw himself surrounded by seven of the enemy’s lancers. It momentarily occurred to him that, by keeping himself in constant motion, he should be a more difficult object for these seven to practice upon; and he resolved to sell his life as dearly as possible. In this unequal contest, his plan was to face as many as he could and strike the lance of the nearest upwards, instantly thrusting his sabre into his antagonist. In this manner, he actually dispatched three, and was engaged with a fourth when assistance coming up, the others fled; not, however, without having inflicted twelve lance wounds on Malone. As may be imagined, he was exhausted from loss of blood, muscular exertion, and the excitement naturally attendant on a man on foot contending for so long a period with seven horsemen, during which time he received his numerous wounds.

“Edward Malone, after being supplied with some spirits from a fallen Russian, rallied and determined, if possible, to try his prowess once more; and he soon had the opportunity, on a Russian sergeant of as fine stature as himself [i.e., 6 ft. 2 in.], whom, after exchanging a few cuts, he felled to the ground in the sight of several witnesses.” (Bell’s Life, Oct. 13, 1855.)",Europe
1044,525,Balaclava,1854.0,Saber,Russian cavalry,Thrust,Head,Ineffective,Ineffective,Horse,,,,BSF 374,"Trooper Joshua Price, of the 6th Inniskilling Dragoons, regarding the charge of the British Heavy Cavalry Brigade at Balaklava in 1854: “On the morning of the 25th of October, the alarm sounded; in about three minutes, every man was mounted and off at full gallop to meet his enemy. We were in a very bad position at the time; they [i.e., the Russian cavalry] formed up in front of us, and outflanked us; we had not more than ten yards to go in at them. Our second squadron made the first attack—we were very soon alongside of them; it was then you would have heard the clash of swords. Our swords sprung off their great grey coats; but we put the points to work, which very soon entered them; and in a very short time, the field was covered with grey coats. It was hard work for a short time, but we soon put them to flight. I received a slight wound by having my right ear cut through with the point of a sword, but it did not signify—I had revenge for it.” (W. Copeland Trimble, Historical Record of the 27th Inniskilling Regiment, 1876.)",Europe
1045,526,Balaclava,1854.0,Saber,Russian cavalry,Cut,Head,Incapacitation,Ineffective,Horse,,,,BSF 375,"“Colonel Dalrymple White, who commanded the Inniskillings, received a heavy sabre cut, which cleft his helmet and penetrated to his skull. The force of the blow tumbled him forward, half dazed. As he raised his head, he saw right in front of him a fair-haired, handsome young Russian officer—a mere lad of 17. ‘He looked like an Eton boy,’ said the colonel, when describing him subsequently. And as the gallant Inniskilling parried the thrust which the lad made at him, he forbore to return the blow and passed on. It would have been cruel, he thought, to cut down one so brave and yet so young. But high courage has its penalties; for the big Scots Grey, mad with the frenzy of battle, had no such compunction, and after receiving the lad’s thrust through his bridle arm, with one blow from his sabre cleft his youthful antagonist’s skull.” (“Personal Prowess at Balaclava,” Bush Advocate, Apr. 15, 1893.)",Europe
1046,527,Balaclava,1854.0,Saber,Russian cavalry,Thrust,Arm,Ineffective,Ineffective,Horse,,,,BSF 375,"“Colonel Dalrymple White, who commanded the Inniskillings, received a heavy sabre cut, which cleft his helmet and penetrated to his skull. The force of the blow tumbled him forward, half dazed. As he raised his head, he saw right in front of him a fair-haired, handsome young Russian officer—a mere lad of 17. ‘He looked like an Eton boy,’ said the colonel, when describing him subsequently. And as the gallant Inniskilling parried the thrust which the lad made at him, he forbore to return the blow and passed on. It would have been cruel, he thought, to cut down one so brave and yet so young. But high courage has its penalties; for the big Scots Grey, mad with the frenzy of battle, had no such compunction, and after receiving the lad’s thrust through his bridle arm, with one blow from his sabre cleft his youthful antagonist’s skull.” (“Personal Prowess at Balaclava,” Bush Advocate, Apr. 15, 1893.)",Europe
1047,527,Balaclava,1854.0,Saber,British cavalry,Cut,Head,Death,,Horse,,,,BSF 375,"“Colonel Dalrymple White, who commanded the Inniskillings, received a heavy sabre cut, which cleft his helmet and penetrated to his skull. The force of the blow tumbled him forward, half dazed. As he raised his head, he saw right in front of him a fair-haired, handsome young Russian officer—a mere lad of 17. ‘He looked like an Eton boy,’ said the colonel, when describing him subsequently. And as the gallant Inniskilling parried the thrust which the lad made at him, he forbore to return the blow and passed on. It would have been cruel, he thought, to cut down one so brave and yet so young. But high courage has its penalties; for the big Scots Grey, mad with the frenzy of battle, had no such compunction, and after receiving the lad’s thrust through his bridle arm, with one blow from his sabre cleft his youthful antagonist’s skull.” (“Personal Prowess at Balaclava,” Bush Advocate, Apr. 15, 1893.)",Europe
1048,528,Balaclava,1854.0,Saber,Trumpeter Farquharson,Thrust,Head,Incapacitation,Incapacitation,Horse,,,,BSF 376,"“Just as we got into the mêlée, my horse dropped. He had been hit by a bullet; but in addition to that, a Russian gunner with whom I was engaged, in attempting to cut me down, missed his mark, the blow falling on the horse and opening the poor brute’s breast with an ugly gash. Before the fellow could recover from his miss, I had him through the head with my point. I encountered a Russian hussar, who made a well-meant cut at me with his sword. I managed to parry it; and then dropping the point of my sword over to my right rear, I caught him a thrust on the right cheek which made him yell. I had no time, however, to see what he wanted further, and made off as fast as I could. 

“Major A. Low, who commanded our first squadron, killed no fewer than thirteen of the enemy’s artillery men, besides cutting down some of their cavalry who came in his way. As may be fancied, he was a very powerful, muscular man, and a dexterous swordsman.” (Reminiscences of Crimean Campaigning, 1882.)",Europe
1049,529,Balaclava,1854.0,Saber,Trumpeter Farquharson,Thrust,Head,Incapacitation,Incapacitation,Horse,,,,BSF 376,"“Just as we got into the mêlée, my horse dropped. He had been hit by a bullet; but in addition to that, a Russian gunner with whom I was engaged, in attempting to cut me down, missed his mark, the blow falling on the horse and opening the poor brute’s breast with an ugly gash. Before the fellow could recover from his miss, I had him through the head with my point. I encountered a Russian hussar, who made a well-meant cut at me with his sword. I managed to parry it; and then dropping the point of my sword over to my right rear, I caught him a thrust on the right cheek which made him yell. I had no time, however, to see what he wanted further, and made off as fast as I could. 

“Major A. Low, who commanded our first squadron, killed no fewer than thirteen of the enemy’s artillery men, besides cutting down some of their cavalry who came in his way. As may be fancied, he was a very powerful, muscular man, and a dexterous swordsman.” (Reminiscences of Crimean Campaigning, 1882.)",Europe
